               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10587,            0.096169,            0.059351,             0.29448,             0.33197,            0.070821,            0.016947,            0.085963,             0.11371,            0.053409,            0.070429,           0.0032857,           0.0032857
                   1,            0.076097,            0.076103,            0.046349,             0.14006,             0.31984,             0.17437,            0.054879,            0.086775,            0.047368,            0.043487,            0.039773,           0.0059638,           0.0059638
                   2,             0.07271,            0.066252,            0.041598,             0.31592,              0.6609,             0.48714,             0.19271,            0.064322,            0.041082,            0.037677,            0.008458,           0.0079818,           0.0079818
                   3,            0.064106,            0.061854,              0.0367,             0.33572,             0.74527,             0.54821,              0.2393,            0.051449,            0.045046,            0.032458,             0.00703,             0.00703,             0.00703
                   4,            0.054853,            0.058464,            0.032147,             0.55695,             0.84904,             0.72287,             0.31485,            0.048694,             0.03745,            0.028139,             0.00703,             0.00703,             0.00703
                   5,            0.048115,            0.054838,             0.02833,               0.539,             0.92571,             0.82562,             0.40375,            0.045587,            0.037318,            0.024714,             0.00604,             0.00604,             0.00604
                   6,            0.044102,            0.052564,            0.025329,              0.7786,               0.933,             0.89928,             0.47761,            0.038127,            0.034808,            0.022126,             0.00505,             0.00505,             0.00505
                   7,            0.039856,            0.050479,            0.022778,             0.91759,             0.92896,             0.96531,             0.53217,            0.035268,            0.033947,            0.019545,             0.00406,             0.00406,             0.00406
                   8,            0.036171,            0.048449,            0.020509,             0.94902,             0.95799,             0.98547,             0.57968,            0.032945,            0.033549,            0.016973,             0.00307,             0.00307,             0.00307
                   9,            0.033365,            0.046827,            0.018241,             0.98422,             0.96874,             0.98983,             0.62383,            0.030234,            0.032013,            0.014578,             0.00208,             0.00208,             0.00208
